ID,Municipio,IPM Municipal
05001,MEDELLÍN,12.8
05002,ABEJORRAL,40.6
05004,ABRIAQUÍ,34.8
05021,ALEJANDRÍA,31.9
05030,AMAGÁ,22.9
05031,AMALFI,43.3
05034,ANDES,40.1
05036,ANGELÓPOLIS,30.7
05038,ANGOSTURA,53.8
05040,ANORÍ,53.3
05042,SANTA FÉ DE ANTIOQUIA,29.7
05044,ANZÁ,47.1
05045,APARTADÓ,28.0
05051,ARBOLETES,59.1
05055,ARGELIA,48.7
05059,ARMENIA,37.7
05079,BARBOSA,22.2
05086,BELMIRA,40.8
05088,BELLO,14.2
05091,BETANIA,53.6
05093,BETULIA,53.1
05101,CIUDAD BOLÍVAR,40.4
05107,BRICEÑO,55.4
05113,BURITICÁ,51.3
05120,CÁCERES,66.4
05125,CAICEDO,54.6
05129,CALDAS,16.0
05134,CAMPAMENTO,59.3
05138,CAÑASGORDAS,45.3
05142,CARACOLÍ,35.9
05145,CARAMANTA,30.5
05147,CAREPA,34.4
05148,EL CARMEN DE VIBORAL,18.5
05150,CAROLINA,20.4
05154,CAUCASIA,36.0
05172,CHIGORODÓ,37.7
05190,CISNEROS,28.8
05197,COCORNÁ,42.9
05206,CONCEPCIÓN,33.0
05209,CONCORDIA,48.5
05212,COPACABANA,11.6
05234,DABEIBA,60.5
05237,DONMATÍAS,19.7
05240,EBÉJICO,39.1
05250,EL BAGRE,53.7
05264,ENTRERRÍOS,23.1
05266,ENVIGADO,4.9
05282,FREDONIA,31.6
05284,FRONTINO,51.3
05306,GIRALDO,33.4
05308,GIRARDOTA,13.9
05310,GÓMEZ PLATA,34.1
05313,GRANADA,33.4
05315,GUADALUPE,41.1
05318,GUARNE,17.0
05321,GUATAPÉ,11.4
05347,HELICONIA,37.5
05353,HISPANIA,36.9
05360,ITAGÜÍ,10.9
05361,ITUANGO,57.6
05364,JARDÍN,28.5
05368,JERICÓ,25.8
05376,LA CEJA,11.5
05380,LA ESTRELLA,9.2
05390,LA PINTADA,31.2
05400,LA UNIÓN,23.0
05411,LIBORINA,43.3
05425,MACEO,36.0
05440,MARINILLA,15.4
05467,MONTEBELLO,39.5
05475,MURINDÓ,81.5
05480,MUTATÁ,57.8
05483,NARIÑO,51.8
05490,NECOCLÍ,62.7
05495,NECHÍ,61.5
05501,OLAYA,33.4
05541,PEÑOL,20.0
05543,PEQUE,53.5
05576,PUEBLORRICO,45.7
05579,PUERTO BERRÍO,32.1
05585,PUERTO NARE,33.1
