,,Privaciones Municipios,,,,,,,,,,,,,,
ID,Municipio,Analfabetismo,Bajo logro educativo,Barreras a servicios para cuidado de la primera infancia,Barreras de acceso a servicios de salud,Tasa de dependencia,Hacinamiento crítico,Inadecuada eliminación de excretas,Inasistencia escolar,Material inadecuado de paredes exteriores,Material inadecuado de pisos,Rezago escolar,Sin acceso a fuente de agua mejorada,Sin aseguramiento en salud,Trabajo infantil,Trabajo informal
05001,MEDELLÍN,5.0,35.2,1.4,2.6,22.8,5.4,2.0,3.1,0.7,0.2,12.5,1.5,15.9,0.5,71.0
05002,ABEJORRAL,18.9,81.7,1.3,3.2,30.2,5.2,23.6,5.0,0.3,1.6,20.3,32.3,8.8,3.6,87.5
05004,ABRIAQUÍ,13.0,66.8,1.3,1.9,37.4,5.4,39.6,2.4,0.8,3.4,13.1,34.4,11.7,1.2,87.6
05021,ALEJANDRÍA,15.7,72.9,1.2,0.5,36.7,4.1,3.7,2.5,0.4,2.5,17.9,26.8,11.0,1.5,87.1
05030,AMAGÁ,15.4,64.4,1.3,4.3,27.2,4.8,5.6,4.7,0.3,1.4,15.7,4.6,14.1,0.8,69.5
05031,AMALFI,19.1,73.1,1.4,5.2,32.3,6.3,32.7,5.9,4.6,9.5,23.2,36.4,12.1,3.5,86.4
05034,ANDES,18.8,72.1,1.5,4.7,29.9,5.0,33.6,5.5,0.4,0.7,18.2,28.3,12.7,2.6,87.2
05036,ANGELÓPOLIS,18.4,74.3,1.4,1.5,29.2,5.6,16.8,3.9,1.2,2.3,20.6,10.8,11.1,1.7,74.0
05038,ANGOSTURA,25.3,81.2,1.9,10.9,38.7,7.4,49.6,6.7,0.3,10.3,25.8,26.1,9.4,3.6,87.0
05040,ANORÍ,19.9,75.6,2.0,5.8,38.1,8.9,54.5,7.7,3.7,8.3,28.2,43.9,9.7,3.9,89.1
05042,SANTA FÉ DE ANTIOQUIA,15.7,62.1,1.3,1.4,29.8,9.7,5.9,4.0,1.2,9.4,19.7,9.2,12.7,1.3,81.9
05044,ANZÁ,27.8,83.9,2.1,6.7,30.6,6.1,35.3,6.4,0.8,8.5,25.2,22.1,8.5,3.8,87.1
05045,APARTADÓ,10.7,47.1,2.0,6.8,32.5,14.0,5.9,4.1,5.3,5.2,21.7,7.2,16.3,1.2,74.6
05051,ARBOLETES,24.5,68.3,3.4,5.2,50.4,13.9,30.1,4.3,9.1,56.0,27.5,43.2,16.1,1.2,90.7
05055,ARGELIA,18.9,77.4,2.1,4.3,35.9,5.3,46.0,7.3,2.1,2.6,19.2,35.9,10.0,4.8,91.3
05059,ARMENIA,28.7,79.0,1.1,1.8,36.1,2.3,22.6,2.0,0.1,0.6,18.1,24.6,7.5,0.8,86.0
05079,BARBOSA,10.6,56.5,1.4,2.3,25.1,3.8,14.8,3.6,0.5,1.3,12.4,23.0,15.7,1.0,78.0
05086,BELMIRA,15.5,69.9,1.6,5.4,32.7,7.8,20.7,4.6,0.3,1.9,25.1,42.5,14.9,4.0,81.4
05088,BELLO,4.4,36.5,1.8,2.8,25.4,5.6,5.5,2.8,1.4,0.7,13.2,5.6,19.2,0.5,72.7
05091,BETANIA,23.9,80.3,2.0,7.2,34.5,6.7,36.7,6.3,1.7,0.9,28.4,43.0,14.2,3.7,90.6
05093,BETULIA,28.0,82.8,1.5,7.4,32.9,6.1,47.7,8.1,0.4,5.1,25.7,28.6,9.7,4.8,92.2
05101,CIUDAD BOLÍVAR,20.3,71.6,1.2,3.8,31.2,6.4,25.5,5.1,0.4,1.2,22.4,20.6,12.9,2.3,83.7
05107,BRICEÑO,22.8,78.1,2.9,9.2,42.8,8.9,37.0,7.8,1.6,6.9,29.8,39.5,8.9,2.8,85.7
05113,BURITICÁ,21.2,79.0,2.4,8.7,40.3,12.6,22.3,12.9,1.4,14.4,22.1,13.0,15.1,2.8,83.2
05120,CÁCERES,31.0,81.2,4.4,9.7,46.2,16.5,35.9,8.3,10.2,41.6,33.5,43.6,14.5,3.1,93.2
05125,CAICEDO,22.6,80.0,1.3,14.6,35.6,6.9,53.1,6.6,0.5,22.6,27.3,23.9,7.6,5.1,93.3
05129,CALDAS,6.3,44.5,1.5,4.5,19.6,4.3,10.1,3.0,0.2,0.3,14.1,5.0,18.1,0.5,66.9
05134,CAMPAMENTO,27.3,83.9,1.7,3.4,35.1,9.1,58.7,10.0,0.8,7.1,32.3,42.7,9.4,7.4,91.1
05138,CAÑASGORDAS,19.4,72.0,1.8,4.1,40.9,9.1,35.3,7.1,1.5,11.7,16.0,29.9,9.6,2.1,89.4
05142,CARACOLÍ,17.9,74.1,1.4,1.5,26.3,4.7,50.8,3.3,0.6,3.5,14.2,20.6,11.3,1.2,84.7
05145,CARAMANTA,15.6,75.8,0.8,2.2,32.4,4.8,16.6,4.1,0.6,0.6,16.0,21.2,7.7,2.0,85.7
05147,CAREPA,14.7,56.8,2.6,0.9,38.4,14.8,7.8,6.8,7.1,9.8,23.5,20.8,14.6,1.5,76.3
05148,EL CARMEN DE VIBORAL,9.4,48.2,2.3,6.5,21.2,4.9,2.8,3.7,0.1,0.1,22.6,5.3,14.9,1.7,69.1
05150,CAROLINA,11.4,54.8,0.9,0.6,34.0,5.9,3.7,1.6,0.5,1.1,12.1,14.0,14.4,0.7,75.1
05154,CAUCASIA,16.3,55.9,2.3,2.9,37.9,17.8,13.7,4.8,10.8,13.8,23.3,8.2,13.8,1.2,87.7
05172,CHIGORODÓ,18.1,59.5,2.6,4.9,39.3,14.5,8.9,6.0,6.0,6.9,23.0,14.0,17.6,1.6,80.5
05190,CISNEROS,10.0,60.2,1.1,1.3,38.3,5.4,35.3,3.3,3.0,0.7,11.0,34.5,12.6,0.7,82.7
05197,COCORNÁ,18.8,75.0,1.3,5.4,41.5,5.8,20.3,4.1,0.4,1.0,17.9,31.6,9.6,2.3,85.8
05206,CONCEPCIÓN,14.5,72.8,1.4,1.7,30.3,5.4,5.1,2.5,0.1,0.4,11.3,44.9,10.0,1.5,85.2
05209,CONCORDIA,29.6,80.4,1.3,2.0,39.0,5.4,24.5,5.4,0.8,2.5,21.9,32.5,10.6,2.7,88.2
05212,COPACABANA,5.4,36.2,1.3,4.5,19.8,3.7,5.0,1.9,0.2,0.3,15.1,4.2,16.2,0.6,70.5
05234,DABEIBA,32.6,76.1,5.1,2.6,40.7,18.2,42.7,9.8,13.1,15.7,30.3,48.0,15.5,4.4,92.1
05237,DONMATÍAS,6.8,59.8,2.1,0.7,24.6,4.8,9.1,4.5,0.0,0.2,15.9,13.0,14.8,2.3,80.2
05240,EBÉJICO,22.5,79.3,1.0,6.4,34.1,3.8,26.1,2.6,1.0,6.5,19.3,9.4,11.4,1.1,85.9
05250,EL BAGRE,23.1,69.1,3.6,2.7,43.0,19.6,41.3,8.9,10.6,24.3,29.0,18.8,14.8,2.9,91.7
05264,ENTRERRÍOS,5.6,55.6,2.3,5.5,26.5,3.7,14.5,4.4,0.1,0.3,19.5,14.8,15.1,2.2,68.5
05266,ENVIGADO,2.0,19.4,1.0,1.5,15.6,1.8,0.6,1.6,0.0,0.0,8.3,0.9,17.0,0.2,62.4
05282,FREDONIA,16.5,72.4,1.3,0.8,29.3,4.3,16.3,3.1,1.0,3.0,15.4,16.5,20.5,1.0,78.4
05284,FRONTINO,24.2,71.7,4.3,1.8,38.2,14.3,42.1,8.6,10.7,6.6,26.0,27.7,12.9,3.8,90.7
05306,GIRALDO,12.2,69.3,1.4,0.9,35.3,8.1,31.0,5.4,0.2,4.3,17.5,8.4,10.5,3.0,84.7
05308,GIRARDOTA,6.6,42.4,1.7,3.5,22.7,3.8,6.4,2.4,0.1,0.6,12.6,9.0,13.4,0.6,69.4
05310,GÓMEZ PLATA,11.9,70.0,1.1,6.2,32.2,5.3,21.1,3.1,0.8,3.8,19.7,26.0,10.9,1.7,81.1
05313,GRANADA,14.4,78.3,2.1,3.7,34.3,8.6,15.2,5.4,2.5,0.3,19.3,13.7,8.4,3.8,84.4
05315,GUADALUPE,21.3,74.5,1.0,0.6,37.7,7.0,32.8,4.0,0.6,3.2,21.7,35.8,9.1,1.7,80.2
05318,GUARNE,7.2,46.3,1.6,1.6,24.4,3.6,6.5,2.1,0.3,0.8,16.7,10.3,16.3,0.8,72.6
05321,GUATAPÉ,4.5,46.3,1.1,3.0,25.8,3.2,1.2,2.3,0.1,0.1,8.7,2.7,14.8,0.7,77.8
05347,HELICONIA,19.2,77.1,1.0,6.8,32.7,4.9,26.5,2.8,0.7,0.9,18.4,8.8,13.7,1.7,80.4
05353,HISPANIA,18.9,69.8,1.6,4.1,35.1,5.3,16.3,3.8,0.1,0.3,17.5,23.8,14.6,2.0,79.1
