ID,Municipio,Analfabetismo,,,Bajo logro educativo,,,Barreras a servicios para cuidado de la primera infancia,,,Barreras de acceso a servicios de salud,,,Tasa de dependencia,,,Hacinamiento crítico,,,Inadecuada eliminación de excretas,,,Inasistencia escolar,,,Material inadecuado de paredes exteriores,,,Material inadecuado de pisos,,,Rezago escolar,,,Sin acceso a fuente de agua mejorada,,,Sin aseguramiento en salud,,,Trabajo infantil,,,Trabajo informal,,
,,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso
05001,MEDELLÍN,5.0,4.9,11.6,35.2,34.9,54.4,1.4,1.4,2.0,2.6,2.6,3.0,22.8,22.8,23.7,5.4,5.5,3.1,2.0,1.7,15.7,3.1,3.1,4.8,0.7,0.7,0.4,0.2,0.2,1.8,12.5,12.5,13.9,1.5,1.3,16.9,15.9,15.9,15.5,0.5,0.5,1.1,71.0,70.9,77.3
05002,ABEJORRAL,18.9,15.1,21.7,81.7,65.0,94.0,1.3,0.7,1.7,3.2,2.2,3.9,30.2,32.5,28.6,5.2,5.9,4.6,23.6,4.3,37.9,5.0,2.1,7.1,0.3,0.5,0.1,1.6,0.2,2.6,20.3,15.9,23.5,32.3,1.8,54.8,8.8,11.8,6.6,3.6,1.5,5.2,87.5,80.4,92.7
05004,ABRIAQUÍ,13.0,6.7,16.9,66.8,42.8,81.6,1.3,1.0,1.5,1.9,3.7,0.8,37.4,36.4,38.0,5.4,5.1,5.6,39.6,2.4,62.6,2.4,0.3,3.8,0.8,1.0,0.6,3.4,2.0,4.2,13.1,11.4,14.2,34.4,2.0,54.5,11.7,15.8,9.2,1.2,0.7,1.5,87.6,83.8,90.0
05021,ALEJANDRÍA,15.7,11.4,21.9,72.9,60.3,91.3,1.2,1.2,1.1,0.5,0.9,0.0,36.7,32.8,42.3,4.1,4.9,3.0,3.7,1.3,7.1,2.5,1.9,3.4,0.4,0.5,0.2,2.5,0.6,5.3,17.9,10.8,28.3,26.8,0.5,65.3,11.0,11.8,9.8,1.5,0.9,2.5,87.1,84.7,90.7
05030,AMAGÁ,15.4,11.0,19.5,64.4,52.1,75.8,1.3,1.4,1.2,4.3,5.1,3.6,27.2,25.9,28.4,4.8,5.4,4.2,5.6,1.6,9.4,4.7,5.3,4.0,0.3,0.2,0.4,1.4,0.2,2.6,15.7,13.3,17.9,4.6,1.0,7.9,14.1,14.5,13.6,0.8,0.6,0.9,69.5,69.1,69.9
05031,AMALFI,19.1,14.0,26.1,73.1,60.1,90.9,1.4,1.0,2.0,5.2,1.4,10.5,32.3,35.9,27.4,6.3,6.4,6.1,32.7,3.9,72.5,5.9,3.8,8.9,4.6,2.9,6.9,9.5,0.7,21.7,23.2,18.4,29.6,36.4,2.4,83.3,12.1,12.5,11.5,3.5,1.6,6.1,86.4,83.2,91.0
05034,ANDES,18.8,12.8,25.1,72.1,58.1,86.7,1.5,1.3,1.8,4.7,6.3,3.0,29.9,29.2,30.5,5.0,6.2,3.6,33.6,7.9,60.6,5.5,3.4,7.7,0.4,0.3,0.5,0.7,0.2,1.2,18.2,14.6,22.0,28.3,1.5,56.3,12.7,14.2,11.1,2.6,1.0,4.2,87.2,81.3,93.3
05036,ANGELÓPOLIS,18.4,11.7,23.0,74.3,62.1,82.9,1.4,1.3,1.5,1.5,1.6,1.5,29.2,29.8,28.8,5.6,6.9,4.6,16.8,6.6,23.8,3.9,2.7,4.7,1.2,2.5,0.2,2.3,2.0,2.5,20.6,15.4,24.1,10.8,0.8,17.7,11.1,11.2,11.0,1.7,1.1,2.1,74.0,74.5,73.7
05038,ANGOSTURA,25.3,12.3,29.8,81.2,58.5,89.2,1.9,1.3,2.1,10.9,5.8,12.7,38.7,38.5,38.7,7.4,7.0,7.6,49.6,10.5,63.5,6.7,2.4,8.2,0.3,0.3,0.2,10.3,0.8,13.6,25.8,17.4,28.7,26.1,2.1,34.6,9.4,9.5,9.4,3.6,1.3,4.4,87.0,80.2,89.4
05040,ANORÍ,19.9,16.8,22.8,75.6,63.5,87.1,2.0,1.1,2.7,5.8,4.5,7.0,38.1,37.8,38.3,8.9,10.5,7.4,54.5,21.2,85.8,7.7,5.4,9.9,3.7,3.0,4.3,8.3,1.9,14.4,28.2,24.4,31.9,43.9,9.7,76.0,9.7,10.5,9.0,3.9,2.7,5.1,89.1,85.9,92.1
05042,SANTA FÉ DE ANTIOQUIA,15.7,10.6,27.8,62.1,50.6,89.3,1.3,1.2,1.7,1.4,1.3,1.4,29.8,28.8,32.2,9.7,10.6,7.4,5.9,1.5,16.4,4.0,2.5,7.6,1.2,1.3,0.7,9.4,1.6,27.9,19.7,15.4,30.1,9.2,0.7,29.4,12.7,14.0,9.7,1.3,0.6,3.0,81.9,78.4,90.3
